City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
319,Svetlyy,RU,54.675,20.1347,51.85,92,100,21.56,light rain
320,Bitung,ID,1.4451,125.1824,94.05,67,68,11.77,broken clouds
321,Kavaratti,IN,10.5669,72.642,82.15,71,99,7.83,overcast clouds
322,Paita,PE,-5.0892,-81.1144,65.32,86,73,10.94,broken clouds
323,Whitianga,NZ,-36.8333,175.7,66.02,71,93,12.08,overcast clouds
324,Touros,BR,-5.1989,-35.4608,77.9,82,100,10.49,overcast clouds
325,Olafsvik,IS,64.8945,-23.7142,35.94,67,14,21.59,few clouds
326,Hambantota,LK,6.1241,81.1185,84.54,79,0,3.44,clear sky
327,Tebingtinggi,ID,3.3285,99.1625,82.45,92,100,3.96,light rain
328,Plainview,US,40.7765,-73.4673,63.68,59,1,3.0,clear sky
329,Sabang,ID,5.8933,95.3214,79.97,81,97,8.32,moderate rain
330,Tifton,US,31.4505,-83.5085,62.06,94,1,0.0,clear sky
331,Nisia Floresta,BR,-6.0911,-35.2086,79.18,88,96,5.5,overcast clouds
332,Tezu,IN,27.9167,96.1667,72.68,99,100,2.91,moderate rain
333,Kollo,NE,13.3043,2.339,81.03,60,31,7.96,scattered clouds
334,Baiyin,CN,36.5583,104.2081,47.28,51,100,6.67,overcast clouds
335,Hobyo,SO,5.3505,48.5268,79.47,80,48,10.04,light rain
336,Eureka,US,40.8021,-124.1637,54.12,76,100,11.01,moderate rain
337,Santa Maria,BR,-29.6842,-53.8069,58.3,82,0,8.05,clear sky
338,Kokkola,FI,63.8385,23.1307,34.93,92,90,10.0,light snow
339,Ballina,AU,-28.8667,153.5667,78.98,69,11,10.36,few clouds
340,Oro Valley,US,32.3909,-110.9665,69.98,51,5,3.0,clear sky
341,Trairi,BR,-3.2778,-39.2689,78.71,81,99,9.82,overcast clouds
342,Bam,IR,29.106,58.357,78.75,25,0,2.51,clear sky
343,Manggar,ID,-2.8833,108.2667,84.88,66,98,6.51,overcast clouds
344,Port Moresby,PG,-9.4431,147.1797,90.82,62,40,17.27,haze
345,Sioux Lookout,CA,50.1001,-91.917,37.78,75,40,9.22,scattered clouds
